Entry_Names
A0A024RBS3
A0A0S2Z6U5
P27105
O43633
A1L3X4
Q70EL1
Q9H270
P61586
A5PLN9
A0AVK6
A0A0C4DG94
A0A0S2Z3K0
P37198
Q9HAU0
P00387
A1A5C7
A0FGR8
A0A0S2Z4A7
Q96CN9
P09884
P11940
Q8N3C7
Q8N0X7
Q8WTV0
A0FGR9
Q96B26
A0A024R5S0
Q92900
A0A384MDV8
A0AVG3
A2A2V5
A1A580
Q9BVL2
P16435
A0A0C3SFZ9
A5D903
O43169
A1L168
A6NEM1
Q9NQT5
P15151
A1KXE4
P50897
A1KXE4-2
Q5T6F2
A0A0S2Z4Y0
Q08117
Q99519
Q9NQT4
O75506
A0A0C4DFN3
A1A4E9
A5YKK6
A0A0B4J2F2
A0A384ME25
Q96HR9
A0A0S2Z5Q7
A0MZ66-4
P14735
A0JP26
P09601
Q9H4P4
P62877
A6NC98
Q9NY61
A0A0S2Z645
A5D8W4
A0A0S2Z4E4
Q04724
A1L190
O95391
A2RRD8
P13984
A2RRN7
Q9UBX5
Q15369
A4D161
P35555
Q9UJC3
A0A1U9X8X8
P61970
A0A1P0AYU5
A0A024RA76
O76024
A5D8V6
Q8N6S5
A0PK00
Q99996
A0A0A0MR80
O95070
A0A0S2Z4Q4
P11233
Q9H8W4
Q4V328
A0A1B0GWI1
P35556
A0A0S2Z4M1
A6NEQ0
Q8TAD8
A0A0C4DGF1
Q5VU43
A1L162
A0A0S2Z3D6
Q9UL15
Q8TD10
A1L4K1
A0A0A0MR97
A1L429
O14874
Q969X5
A0A0S2Z6H0
A1L378
Q99959
A0A024R4B0
A0A087WZT3
O14745
A1A5B0
Q9ULX6
A2RU14
Q13438
Q96HW7
Q08379
A0PJY2
A0A024R4Z4
Q9BVK2
Q7Z3B4
A0A6G6A1M4
A0A0S2Z5W9
A0A0S2Z4D7
Q9Y5J6
A0MZ66
A2RU56
A6NGQ2
Q96F45
P05556
Q6PJH3
Q15370
A1L4F5
A0A6M3G9R1
Q99081
A2VCK2
O43823
Q96CW1
A0A6B9WHD3
Q9BS26
O43292
Q9H4F8
Q9H3K2
A0A0S2Z5G4
A4PIW0
Q86VR2
P05026
P67870
Q9NQC3
A6NDP7
A0A0S2Z4G9
A4FUJ8
A7MCY6
A0A024R644
A0A0S2Z3N6
O00203
Q9HCE1
A0MZ66-7
Q8TBR0
Q5JSZ5
Q7Z2K6
A0A0S2Z5X4
A0A0U1RRE5
Q4G0J3
Q14181
A2BDD9
A0A024R8L2
A0A0C4DG62
A0A024R8A9
